regionCode,displayName,rainfallMm,dischargeGl,sampleCount,wetSeasonMedianSS,sortOrder,longitude,latitude
CY,Cape York,1449,16415,199,0.82,1,142.55,-14.70
CY,Cape York,1449,16415,199,0.82,2,143.40,-14.55
CY,Cape York,1449,16415,199,0.82,3,144.20,-14.35
CY,Cape York,1449,16415,199,0.82,4,145.12,-14.15
WT,Wet Tropics,2063,23487,268,1.51,1,143.30,-17.75
WT,Wet Tropics,2063,23487,268,1.51,2,144.30,-17.65
WT,Wet Tropics,2063,23487,268,1.51,3,145.15,-17.48
WT,Wet Tropics,2063,23487,268,1.51,4,145.98,-17.38
BU,Burdekin,702,12721,139,1.67,1,143.95,-19.75
BU,Burdekin,702,12721,139,1.67,2,145.10,-19.60
BU,Burdekin,702,12721,139,1.67,3,146.15,-19.45
BU,Burdekin,702,12721,139,1.67,4,147.17,-19.27
MW,Mackay Whitsunday,1550,6197,64,2.59,1,145.95,-20.95
MW,Mackay Whitsunday,1550,6197,64,2.59,2,146.95,-20.88
MW,Mackay Whitsunday,1550,6197,64,2.59,3,147.95,-20.63
MW,Mackay Whitsunday,1550,6197,64,2.59,4,148.84,-20.42
FT,Fitzroy,716,9226,109,1.37,1,147.10,-23.55
FT,Fitzroy,716,9226,109,1.37,2,148.35,-23.45
FT,Fitzroy,716,9226,109,1.37,3,149.55,-23.35
FT,Fitzroy,716,9226,109,1.37,4,150.94,-23.25
